AssetManager,SponsorFirm,,MorningstarStrategyId,MorningstarClass,,,SmaStrategy,SmaProductType,ManagerClass,,TotalAccounts,Smry Trns Typ Txt,1Q 2016,2Q 2016,3Q 2016,4Q 2016,1Q 2017,2Q 2017,3Q 2017,4Q 2017,1Q 2018
,,,,,,,,SMA Model-Only Contract,Unified Managed Account,,,Gross Flows,0,0,0,0,2448856,0,0,186861,219944
,,,,,,,,,,,,Redemptions,0,0,0,0,0,0,-97315,-158873.8,-3064
,,,,,,,,,Unified Managed Account Total,,-,Net Cash Flows,0,0,0,0,2448856,0,-97315,27987.2,216880
,,,,,,,,,,,,Assets,,,,,2440839,2513099,2542927,2705768,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Single Contract,Stratis,,,Gross Flows,0,0,0,0,11685513,104366,1459938,287531,1760926.78
,,,,,,,,,,,,Redemptions,0,0,0,0,-2232717,-397920,-310000,-45000,-607168.78
,,,,,,,,,Stratis Total,,40,Net Cash Flows,0,0,0,0,9452796,-293554,1149938,242531,1153758
,,,,,,,,,,,,Assets,,,,,9570456.28,9715397.91,11452941.65,12236229.37,13316914.34
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4Q,US SA Preferred Stock,,,SMA Spectrum Preferred Securities,SMA Dual Contract,Investment Counseling Service Program,,,Redemptions,0,0,0,0,0,0,-55000,-52833.1,0
,,,,,,,,,Investment Counseling Service Program Total,,1,Net Cash Flows,0,0,0,0,0,0,-55000,-52833.1,0
,,,,,,,,,,,,Assets,825302.52,856858.35,858853.67,810956.48,857013.25,886706.83,836350.11,785368.41,776403.89
,,,,,,,,,,,,,,,,,,,,,
,J.P. Morgan Securities LLC Total,,,,,,,,,,,Overall Net Cash Flows,1600824,1750364,0,0,11881152,-303554,997623,217685.1,1340638
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Janney Wealth Management,,F00000XDN8,US SA Mid-Cap Blend,,,SMA Edge Mid-Cap Core,SMA Model-Only Contract,Advisors Program,,,Gross Flows,0,0,0,0,2008490.64,1919558.8,105966.3,15602525,1945541.5
,,,,,,,,,Advisors Program Total,,100,Net Cash Flows,0,0,0,0,2008490.64,1919558.8,105966.3,15602525,1945541.5
,,,,,,,,,,,,Assets,,,,,1993868.02,4031786,4262979,20143121,22011330
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4Q,US SA Preferred Stock,,,SMA Spectrum Preferred Securities,SMA Model-Only Contract,Advisors Program,,,Gross Flows,0,0,0,0,0,0,0,15419855.92,1914659.4
,,,,,,,,,,,,Redemptions,0,0,0,0,0,0,0,-104584.4,-334160.64
,,,,,,,,,Advisors Program Total,,90,Net Cash Flows,0,0,0,0,0,0,0,15315271.52,1580498.76
,,,,,,,,,,,,Assets,,,,,,,,15301908,16044948
,,,,,,,,,,,,,,,,,,,,,
,Janney Wealth Management Total,,,,,,,,,,,Overall Net Cash Flows,0,0,0,0,2008490.64,1919558.8,105966.3,30917796.52,3526040.26
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"Lockwood Advisors, Inc",,F00000JQ4Q,US SA Preferred Stock,,,SMA Spectrum Preferred Securities,SMA Single Contract,Lockwood-Sponsored Program,,,Gross Flows,224331,0,0,0,250000,925000,0,75000,2249109.7
,,,,,,,,,,,,Redemptions,-5797.04,-105075.73,-5103.8,-196044.5,-5328.71,-6658.94,-17772.21,-21688.08,-123290.67
,,,,,,,,,Lockwood-Sponsored Program Total,,7,Net Cash Flows,218533.96,-105075.73,-5103.8,-196044.5,244671.29,918341.06,-17772.21,53311.92,2125819.03
,,,,,,,,,,,,Assets,943880.15,867820.62,860183.95,619780.97,902911.51,1856779.05,1846450.02,1902396.92,3990228.18
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Managed Account Command,,,Gross Flows,0,0,0,0,0,122374,0,0,0
,,,,,,,,,Managed Account Command Total,,2,Net Cash Flows,0,0,0,0,0,122374,0,0,0
,,,,,,,,,,,,Assets,,245954.06,246588.91,233044.82,246284.38,376698.98,378527.76,379244.19,374718.39
,,,,,,,,,,,,,,,,,,,,,
,"Lockwood Advisors, Inc Total",,,,,,,,,,,Overall Net Cash Flows,218533.96,-105075.73,-5103.8,-196044.5,244671.29,1040715.06,-17772.21,53311.92,2125819.03
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Morgan Stanley,,F00000YYTQ,US SA Large Growth,,,SMA Blue Chip Equity,SMA DVP Contract,Consulting and Evaulation Services (CES) DVP T2,,,Gross Flows,0,0,0,0,0,0,0,18008745.6,12743.52
,,,,,,,,,,,,Redemptions,0,0,0,0,0,0,0,-7218850.94,0
,,,,,,,,,Consulting and Evaulation Services (CES) DVP T2 Total,,1,Net Cash Flows,0,0,0,0,0,0,0,10789894.66,12743.52
,,,,,,,,,,,,Assets,,,,,,,,10889275.78,11287945.46
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Model-Only Contract,Select UMA,,,Gross Flows,0,0,0,0,6913347.5,2791656.4,1524405.2,5573570.2,13208281.63
,,,,,,,,,,,,Redemptions,0,0,0,0,0,-78357.62,0,0,-154975
,,,,,,,,,Select UMA Total,,113,Net Cash Flows,0,0,0,0,6913347.5,2713298.78,1524405.2,5573570.2,13053306.63
,,,,,,,,,,,,Assets,,,,,6971474.26,10227179.27,12682843.05,20078159,35810019
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SMA CCI Large Cap Growth Equity,SMA Dual Contract,Consulting and Evaluation Services (CES),,,Gross Flows,0,0,0,302045,0,0,0,0,0
,,,,,,,,,,,,Redemptions,0,0,0,0,0,0,-20000,0,-30000
,,,,,,,,,Consulting and Evaluation Services (CES) Total,,1,Net Cash Flows,0,0,0,302045,0,0,-20000,0,-30000
,,,,,,,,,,,,Assets,247280.87,241447.75,255516.91,297043.29,329251.6,344259.53,350136.12,375824.64,363892.62
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Consulting and Evaluation Services (CES) T2,,,Redemptions,-15000000,0,-76426753,0,0,0,0,0,0
,,,,,,,,,Consulting and Evaluation Services (CES) T2 Total,,1,Net Cash Flows,-15000000,0,-76426753,0,0,0,0,0,0
,,,,,,,,,,,,Assets,74950106.02,73553490.52,,243149.77,269254.73,281550.23,302987.47,325470.52,341079.14
,,,,,,,,,,,,,,,,,,,,,
,,,F00000OSPA,US SA Mid-Cap Value,,,SMA Edge Small MidCap Dividend Income,SMA Dual Contract,Consulting and Evaluation Services (CES),,,Gross Flows,0,0,0,0,0,8084200,1160.93,1160.93,1106.97
,,,,,,,,,,,,Redemptions,0,0,-1786422,0,0,0,0,0,0
,,,,,,,,,Consulting and Evaluation Services (CES) Total,,1,Net Cash Flows,0,0,-1786422,0,0,8084200,1160.93,1160.93,1106.97
,,,,,,,,,,,,Assets,1654836.78,1754757.78,,,,8099368.45,8443093.52,8750633.21,8471496.71
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Model-Only Contract,Select UMA,,,Gross Flows,15365800.87,14046826,49511828,28940831.05,55376955,42731533,39824012,35031920,28150515.27
,,,,,,,,,,,,Redemptions,-2350745.52,-493365.68,-2424546.5,-6691434.25,-6405856.54,-5621258.7,-5179244,-7272706,-13170403.87
,,,,,,,,,Select UMA Total,,2002,Net Cash Flows,13015055.35,13553460.32,47087281.5,22249396.8,48971098.46,37110274.3,34644768,27759214,14980111.4
,,,,,,,,,,,,Assets,33264768.35,48595803.99,108197720.9,229516034.5,290715044,339637073,402360361.2,449096567.9,450624817.8
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Single Contract,Fiduciary Services (FS),,,Gross Flows,1273819,1325240,53431891.79,1105643.66,0,0,0,0,0
,,,,,,,,,,,,Redemptions,-545760.94,-362032.39,-6432196.13,-3338902.37,-174527,0,0,0,0
,,,,,,,,,Fiduciary Services (FS) Total,,-,Net Cash Flows,728058.06,963207.61,46999695.66,-2233258.71,-174527,0,0,0,0
,,,,,,,,,,,,Assets,29043025.59,31690120.84,81276020.78,168224.51,0,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,F00000OSQN,US SA Mid-Cap Value,,,SMA Edge Small MidCap Dividend Income with MLPs,SMA Model-Only Contract,Select UMA,,,Gross Flows,364928.1,762952.18,4573231.7,3809365.46,4508182.02,3078571.6,3398535.5,649535.8,12089747.05
,,,,,,,,,,,,Redemptions,-582419.7,-241944.75,-972240.7,-938142.1,-2085845.22,-1030977.93,-803312.7,-1344134.6,-1262430.16
,,,,,,,,,Select UMA Total,,150,Net Cash Flows,-217491.6,521007.43,3600991,2871223.36,2422336.8,2047593.67,2595222.8,-694598.8,10827316.89
,,,,,,,,,,,,Assets,6011191.9,6947503.58,11164536.28,16999782.73,20056761.81,22269991.2,25691992.64,24978526,34184512
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Single Contract,Fiduciary Services (FS),,,Gross Flows,52016.93,64897.43,1421.84,0,0,0,0,0,0
,,,,,,,,,,,,Redemptions,-25411.69,-46078.97,-1294942,-283095,0,0,0,0,0
,,,,,,,,,Fiduciary Services (FS) Total,,-,Net Cash Flows,26605.24,18818.46,-1293520.16,-283095,0,0,0,0,0
,,,,,,,,,,,,Assets,3479054.04,3701456.22,2589058.61,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,F00000WJTR,US SA High Yield Bond,,,SMA High Yield with 144A,SMA Dual Contract,Consulting and Evaluation Services (CES) T3,,,Gross Flows,0,2028.13,294534.38,0,0,0,0,0,0
,,,,,,,,,,,,Redemptions,0,-2345.25,-4747.81,0,0,0,0,0,0
,,,,,,,,,Consulting and Evaluation Services (CES) T3 Total,,-,Net Cash Flows,0,-317.12,289786.57,0,0,0,0,0,0
,,,,,,,,,,,,Assets,,29655019.36,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MD3H,US SA Mid-Cap Growth,,,SMA MidCap Equity,SMA DVP Contract,Consulting and Evaulation Services (CES) DVP T2,,,Gross Flows,0,0,0,0,3397769,240000,0,8716961.74,7716.29
,,,,,,,,,,,,Redemptions,0,0,0,0,-2108.32,0,0,-241413.08,0
,,,,,,,,,Consulting and Evaulation Services (CES) DVP T2 Total,,3,Net Cash Flows,0,0,0,0,3395660.68,240000,0,8475548.66,7716.29
,,,,,,,,,,,,Assets,,,,,3396496.56,3798251.21,4011870.79,12900380.54,12871913.97
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Model-Only Contract,Select UMA,,,Gross Flows,35516105.95,35480340.79,25570961,31842231.3,41365156.73,39440300.04,35403802,28842964.1,37649344.59
,,,,,,,,,,,,Redemptions,-7608775.01,-6178106.73,-8228332,-8139785,-10922988.09,-9346647.96,-10598070,-14483865,-12071318.52
,,,,,,,,,Select UMA Total,,2517,Net Cash Flows,27907330.94,29302234.06,17342629,23702446.3,30442168.64,30093652.08,24805732,14359099.1,25578026.07
,,,,,,,,,,,,Assets,146005193.5,180423623.7,206319949.9,297444371.6,349540281.4,397154982,447708161.4,491471229.4,515152188.5
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Single Contract,Fiduciary Services (FS),,,Gross Flows,3219796.65,894298.08,3910608,177784.01,0,0,0,0,0
,,,,,,,,,,,,Redemptions,-3965577.4,-3601130.3,-5982833.31,-405961.26,0,-232297,0,0,0
,,,,,,,,,Fiduciary Services (FS) Total,,-,Net Cash Flows,-745780.75,-2706832.22,-2072225.31,-228177.25,0,-232297,0,0,0
,,,,,,,,,,,,Assets,60120318.3,59206387.47,59622426.42,211263.22,226363.01,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,US SA Preferred Stock,,,SMA Spectrum Offshore Preferred Securities,SMA Dual Contract,Consulting and Evaluation Services (CES),,,Gross Flows,2062886,1317348,7761727,2618559,1762569,1348687,601170.76,101674.93,0
,,,,,,,,,,,,Redemptions,-306448.57,-247567,-190039,-3341291.57,-1100623,-576802,-42981,-3716.11,-3146311.86
,,,,,,,,,Consulting and Evaluation Services (CES) Total,,14,Net Cash Flows,1756437.43,1069781,7571688,-722732.57,661946,771885,558189.76,97958.82,-3146311.86
,,,,,,,,,,,,Assets,4759778.6,6052737.51,13602570.35,12982622.48,13308604.12,14461463.14,15114170.12,15197770.54,11913080.01
,,,,,,,,,,,,,,,,,,,,,
,,,F00000WKR5,US SA Preferred Stock,,,SMA Spectrum Preferred Capital Securities,SMA Dual Contract,Consulting and Evaluation Services (CES) T2,,,Gross Flows,0,0,0,0,0,2160000,480000,423542,395313
,,,,,,,,,Consulting and Evaluation Services (CES) T2 Total,,1,Net Cash Flows,0,0,0,0,0,2160000,480000,423542,395313
,,,,,,,,,,,,Assets,,,,,,2188956.28,2691478.85,3131010.35,3488510.72
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Model-Only Contract,Select UMA,,,Gross Flows,38930837.46,32138921.16,45044961,57151121.68,20433828.43,44345428.52,32409557,20715588.8,31375027.84
,,,,,,,,,,,,Redemptions,-11824878.53,-8234787.89,-4758248.5,-40039957,-28039061.54,-13644205.93,-13319957,-19292547,-31685114.08
,,,,,,,,,Select UMA Total,,2542,Net Cash Flows,27105958.93,23904133.27,40286712.5,17111164.68,-7605233.11,30701222.59,19089600,1423041.8,-310086.24
,,,,,,,,,,,,Assets,181587355.7,218601365.9,271188800.4,554846866.8,578048511.9,633018498,661933740.4,678157940.5,682047335
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Single Contract,Fiduciary Services (FS),,,Gross Flows,4283010.47,14316541.44,3579488.74,2469791.31,150000,0,0,0,0
,,,,,,,,,,,,Redemptions,-14744528.49,-8640615.13,-15573550.15,-35943887.81,-3919083,0,0,0,0
,,,,,,,,,Fiduciary Services (FS) Total,,-,Net Cash Flows,-10461518.02,5675926.31,-11994061.41,-33474096.5,-3769083,0,0,0,0
,,,,,,,,,,,,Assets,314032212.4,329873283.5,321220999.4,3668365.58,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4Q,US SA Preferred Stock,,,SMA Spectrum Preferred Securities,SMA Dual Contract,Consulting and Evaluation Services (CES),,,Gross Flows,0,25000,25000,0,181987.34,0,0,27523,0
,,,,,,,,,,,,Redemptions,-12500,-37500,-1094205.87,-126241,-6250,-15000,-3750,-97523,-50000
,,,,,,,,,Consulting and Evaluation Services (CES) Total,,6,Net Cash Flows,-12500,-12500,-1069205.87,-126241,175737.34,-15000,-3750,-70000,-50000
,,,,,,,,,,,,Assets,5864023.51,6077808.45,5034293.17,4625566.15,5040589.69,5200699.35,5226520.17,5170885.17,5063155.64
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA DVP Contract,Consulting and Evaluation Services (CES) DVP,,,Gross Flows,725000,350000,350000,0,6924.96,0,0,0,0
,,,,,,,,,,,,Redemptions,-82185.03,0,-148348.85,0,0,-188000,-21225.93,-545000,-9126.15
,,,,,,,,,Consulting and Evaluation Services (CES) DVP Total,,2,Net Cash Flows,642814.97,350000,201651.15,0,6924.96,-188000,-21225.93,-545000,-9126.15
,,,,,,,,,,,,Assets,6913386.76,7919574.9,8151434.77,7710933.49,8169655.3,8278468.95,8313041.74,7801999.44,7722245.8
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4R,US SA Preferred Stock,,,SMA Spectrum Tax Advantaged Preferred Securities,SMA Dual Contract,Consulting and Evaluation Services (CES),,,Gross Flows,650000,363891.02,0,0,0,5787.25,0,0,0
,,,,,,,,,,,,Redemptions,0,0,0,0,0,0,0,-11383.91,-11129.32
,,,,,,,,,Consulting and Evaluation Services (CES) Total,,3,Net Cash Flows,650000,363891.02,0,0,0,5787.25,0,-11383.91,-11129.32
,,,,,,,,,,,,Assets,2081953.42,2548886.93,2554644.9,2409227.68,2548618.27,2640462.83,2654098.26,2648145.21,2612608.89
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Model-Only Contract,Select UMA,,,Gross Flows,19048809.8,22989996,17816840,21497865.8,19758490,13044863,14203965.52,6278348,12004888.09
,,,,,,,,,,,,Redemptions,-4912024.87,-2116779.8,-4227590.3,-46980268.32,-8312691,-8059387,-13568329,-13917377.06,-17216698.74
,,,,,,,,,Select UMA Total,,769,Net Cash Flows,14136784.93,20873216.2,13589249.7,-25482402.52,11445799,4985476,635636.52,-7639029.06,-5211810.65
,,,,,,,,,,,,Assets,64706712.81,91110966.76,109232747.9,219567616.8,249942463.9,263805963.3,266188179.9,262868292.4,255805826.2
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Single Contract,Fiduciary Services (FS),,,Gross Flows,3016819.06,2107452,1963794.21,40179.18,0,0,0,0,0
,,,,,,,,,,,,Redemptions,-8359645.43,-2104189.5,-5748788.71,-11752422.21,0,0,0,0,0
,,,,,,,,,Fiduciary Services (FS) Total,,-,Net Cash Flows,-5342826.37,3262.5,-3784994.5,-11712243.03,0,0,0,0,0
,,,,,,,,,,,,Assets,161174357.7,168698530.8,165202958.7,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MP0V,US SA Real Estate,,,SMA U.S. Real Estate Equity Securities,SMA Model-Only Contract,Select UMA,,,Gross Flows,15013514.1,19394918.56,17084207,9554776.68,6661198.69,11851982,4112848.5,13286400,10945961.78
,,,,,,,,,,,,Redemptions,-4345531.61,-2685386.07,-3947320.8,-13344117,-9611393.45,-9522370,-4888767.4,-4473449,-21015845.95
,,,,,,,,,Select UMA Total,,846,Net Cash Flows,10667982.49,16709532.49,13136886.2,-3789340.32,-2950194.76,2329612,-775918.9,8812951,-10069884.17
,,,,,,,,,,,,Assets,68828299.41,90486794.64,101518909.7,145744721.1,142907275.9,148068727.6,149386634.9,160141152.6,136365374.6
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Single Contract,Fiduciary Services (FS),,,Gross Flows,7285313,87000,700000,350000,0,0,0,0,0
,,,,,,,,,,,,Redemptions,-1915819.56,-7750948.43,-2272836.64,-6071229.78,0,0,0,0,0
,,,,,,,,,Fiduciary Services (FS) Total,,-,Net Cash Flows,5369493.44,-7663948.43,-1572836.64,-5721229.78,0,0,0,0,0
,,,,,,,,,,,,Assets,65849488.99,61219442.22,58403043.71,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Morgan Stanley Total,,,,,,,,,,,Overall Net Cash Flows,70226405.04,102924872.9,90106552.39,-17536540.54,89935981.51,120807704.7,83513820.38,68755969.4,46017292.38
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,PNC Bank & Delaware Trust Company,,F00000MD3H,US SA Mid-Cap Growth,,,SMA MidCap Equity,SMA Model-Only Contract,Manager Services-,,,Gross Flows,10384153.82,6607035,8762730,6575587.11,5935598,13170990.8,20946818.36,8352269.04,12815786.43
,,,,,,,,,,,,Redemptions,-752941.09,-4264163.12,-3431624.3,-1076172.66,-1018532.6,-3678291.6,-4242492.4,-8727995.35,-7424477.37
,,,,,,,,,Manager Services- Total,,367,Net Cash Flows,9631212.73,2342871.88,5331105.7,5499414.45,4917065.4,9492699.2,16704325.96,-375726.31,5391309.06
,,,,,,,,,,,,Assets,94794599.99,97614111.16,107277169.9,115172042.9,129385722.8,146625048.7,175284434.6,185024807.2,190076123.5
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MP0V,US SA Real Estate,,,SMA U.S. Real Estate Equity Securities,SMA Model-Only Contract,Manager Services-,,,Gross Flows,898300.6,1614894.2,13920935,10257797.7,2762872.1,249299.8,301853.66,1599492.5,4286119
,,,,,,,,,,,,Redemptions,-876530.6,-862845.98,-664363.3,-9335309.5,-279.18,-2712596,-4283723.96,-1203607,-4766383.6
,,,,,,,,,Manager Services- Total,,55,Net Cash Flows,21770,752048.22,13256571.7,922488.2,2762592.92,-2463296.2,-3981870.3,395885.5,-480264.6
,,,,,,,,,,,,Assets,40955646.12,44153965.1,56270917.25,55872170.97,59318146.95,50065673.08,46431357.18,48131475.97,44364680.53
,,,,,,,,,,,,,,,,,,,,,
,PNC Bank & Delaware Trust Company Total,,,,,,,,,,,Overall Net Cash Flows,9652982.73,3094920.1,18587677.4,6421902.65,7679658.32,7029403,12722455.66,20159.19,4911044.46
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Prudential Financial,,F00000MP0V,US SA Real Estate,,,SMA U.S. Real Estate Equity Securities,SMA Single Contract,Managed Assets Consulting Services,,,Redemptions,-56418.41,-30430.6,-22991.08,0,0,0,0,0,0
,,,,,,,,,Managed Assets Consulting Services Total,,-,Net Cash Flows,-56418.41,-30430.6,-22991.08,0,0,0,0,0,0
,,,,,,,,,,,,Assets,4159591.94,4361213.53,4280457.82,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Prudential Financial Total,,,,,,,,,,,Overall Net Cash Flows,-56418.41,-30430.6,-22991.08,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Raymond James and Associates,,,,,,SMA CCI Large Cap Growth Equity,SMA Dual Contract,Outside Managed Program (OMS),,,Redemptions,-3750,-3626.36,-3626.36,-53626.36,-3626.36,-59651.36,-3626.36,-205727.36,-7777.36
,,,,,,,,,Outside Managed Program (OMS) Total,,2,Net Cash Flows,-3750,-3626.36,-3626.36,-53626.36,-3626.36,-59651.36,-3626.36,-205727.36,-7777.36
,,,,,,,,,,,,Assets,972104.76,943391.54,993430.45,891450.14,982169.31,964619.85,1032671.82,901784.63,935896.94
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SMA CCI Mid Cap Growth,SMA Dual Contract,Outside Managed Program (OMS),,6,Assets,1.19 million,1.24 million,1.29 million,1.26 million,1.38 million,1.43 million,1.51 million,1.61 million,1.65 million
,,,,,,,,,,,,,,,,,,,,,
,,,F00000OSPA,US SA Mid-Cap Value,,,SMA Edge Small MidCap Dividend Income,SMA Model-Only Contract,Freedom UMA and Model Delivery,,,Gross Flows,9359078,12438326,166573603,37374901,53271339,40975643,24970793,18466547,38402783
,,,,,,,,,,,,Redemptions,-10841965,-10622726,-161507776,-17261208,-23642980,-16083628,-12409926,-13027391,-21633554
,,,,,,,,,Freedom UMA and Model Delivery Total,,1944,Net Cash Flows,-1482887,1815600,5065827,20113693,29628359,24892015,12560867,5439156,16769229
,,,,,,,,,,,,Assets,174106304,188094302,212305488,255976282,297254769,327993507,355365319,372929824,375944910
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MD3H,US SA Mid-Cap Growth,,,SMA MidCap Equity,SMA Model-Only Contract,Freedom UMA and Model Delivery,,,Gross Flows,0,0,650664,1379164,3822087,4975303,1871505,4760140,4939848
,,,,,,,,,,,,Redemptions,0,0,-299,-26493,-445173,-171901,-1380221,-209927,-3125142
,,,,,,,,,Freedom UMA and Model Delivery Total,,85,Net Cash Flows,0,0,650365,1352671,3376914,4803402,491284,4550213,1814706
,,,,,,,,,,,,Assets,,,5531121,6958009,11188672,16561642,17999704,23422489,25020799
,,,,,,,,,,,,,,,,,,,,,
,,,F00000WKR5,US SA Preferred Stock,,,SMA Spectrum Preferred Capital Securities,SMA Model-Only Contract,Freedom UMA and Model Delivery,,,Gross Flows,0,0,0,325728,1673141,3244515,4438613,6925561,5272876
,,,,,,,,,,,,Redemptions,0,0,0,0,0,-1068,-47093,-27908,-1897776
,,,,,,,,,Freedom UMA and Model Delivery Total,,58,Net Cash Flows,0,0,0,325728,1673141,3243447,4391520,6897653,3375100
,,,,,,,,,,,,Assets,,,,320939,2044968,5403765,9850408,16784072,20306245
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4Q,US SA Preferred Stock,,,SMA Spectrum Preferred Securities,SMA Dual Contract,Outside Managed Program (OMS),,,Gross Flows,0,99958,0,0,0,0,0,0,0
,,,,,,,,,,,,Redemptions,-24383.58,-24445.67,-139786,-18849.49,-6566.83,-17323.46,-22315.05,-6100,-13759.12
,,,,,,,,,Outside Managed Program (OMS) Total,,4,Net Cash Flows,-24383.58,75512.33,-139786,-18849.49,-6566.83,-17323.46,-22315.05,-6100,-13759.12
,,,,,,,,,,,,Assets,861843.42,968884.39,829830.83,761311.39,795092.18,803249.77,783370.98,776876.37,759180.44
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Model-Only Contract,Freedom UMA and Model Delivery,,,Gross Flows,0,0,0,431633,278,25000,0,66,0
,,,,,,,,,,,,Redemptions,0,0,-39713,-939978,-1666632,-981360,-1076260,-214303,-1416722
,,,,,,,,,Freedom UMA and Model Delivery Total,,23,Net Cash Flows,0,0,-39713,-508345,-1666354,-956360,-1076260,-214237,-1416722
,,,,,,,,,,,,Assets,,,11701191,10584583,9472137,8807291,7771419,7583490,6068404
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4R,US SA Preferred Stock,,,SMA Spectrum Tax Advantaged Preferred Securities,SMA Model-Only Contract,Freedom UMA and Model Delivery,,,Gross Flows,0,0,0,313,590661,132811,1556,809742,0
,,,,,,,,,,,,Redemptions,0,0,-50431,-200373,-652939,-2135543,-2805261,-907691,-3021787
,,,,,,,,,Freedom UMA and Model Delivery Total,,14,Net Cash Flows,0,0,-50431,-200060,-62278,-2002732,-2803705,-97949,-3021787
,,,,,,,,,,,,Assets,,,15098602,13991876,14874898,13317352,10572978,10495681,7322513
,,,,,,,,,,,,,,,,,,,,,
,Raymond James and Associates Total,,,,,,,,,,,Overall Net Cash Flows,-1511020.58,1887485.97,5482635.64,21011211.15,32939588.81,29902797.18,13537764.59,16363008.64,17498989.52
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,RBC Dain Rauscher,,F00000OSPA,US SA Mid-Cap Value,,,SMA Edge Small MidCap Dividend Income,SMA Dual Contract,Managed Account Program (MAP),,,Gross Flows,0,0,0,0,0,146818,10131629,0,0
,,,,,,,,,,,,Redemptions,0,0,0,0,0,0,-94600,-9459787.7,0
,,,,,,,,,Managed Account Program (MAP) Total,,-,Net Cash Flows,0,0,0,0,0,146818,10037029,-9459787.7,0
,,,,,,,,,,,,Assets,,,,,,146543.14,10791851.92,0,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Managed Account Program (MAP) T3,,,Redemptions,0,0,0,0,0,-500000,0,0,-100000
,,,,,,,,,Managed Account Program (MAP) T3 Total,,1,Net Cash Flows,0,0,0,0,0,-500000,0,0,-100000
,,,,,,,,,,,,Assets,,,,,24122072.48,23806247.92,24742998.05,25612076.53,24628006.74
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Single Contract,Consulting Solutions,,,Gross Flows,0,0,0,0,0,0,340006,503102,4245094
,,,,,,,,,,,,Redemptions,0,0,0,0,0,0,0,-209134.3,-417992.69
,,,,,,,,,Consulting Solutions Total,,30,Net Cash Flows,0,0,0,0,0,0,340006,293967.7,3827101.31
,,,,,,,,,,,,Assets,,,,,,,541503.52,2289063.02,5882498.85
,,,,,,,,,,,,,,,,,,,,,
,,,F00000OSQN,US SA Mid-Cap Value,,,SMA Edge Small MidCap Dividend Income with MLPs,SMA Dual Contract,Managed Account Program (MAP),,,Gross Flows,0,0,0,0,0,0,5704224,0,0
,,,,,,,,,,,,Redemptions,0,0,0,0,-28000,0,-257231,-4447143,-257168
,,,,,,,,,Managed Account Program (MAP) Total,,-,Net Cash Flows,0,0,0,0,-28000,0,5446993,-4447143,-257168
,,,,,,,,,,,,Assets,99095.54,104940.85,112242.11,123251.56,98830.01,99545.08,5708716.69,257168.37,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Managed Account Program (MAP) T3,,,Gross Flows,0,0,0,21038098,0,0,0,0,0
